Region,Census year,Total,Mean rent per person
Keysborough,2006,566,60.75971731448763
Keysborough,2011,834,91.8189448441247
Keysborough,2016,1205,111.8804979253112
Kilsyth,2006,443,65.17155756207676
Kilsyth,2011,515,94.95728155339806
Kilsyth,2016,580,110.87068965517241
Kinglake,2006,95,59.694736842105264
Kinglake,2011,79,67.0126582278481
Kinglake,2016,81,94.88888888888889
Kings Park (Vic.),2006,660,53.47272727272727
Kings Park (Vic.),2011,780,77.91282051282052
Kings Park (Vic.),2016,881,90.69125993189557
Kingsbury,2006,550,88.56727272727272
Kingsbury,2011,850,128.39294117647057
Kingsbury,2016,1034,143.90328820116054
Knoxfield - Scoresby,2006,634,68.07097791798107
Knoxfield - Scoresby,2011,742,97.81266846361186
Knoxfield - Scoresby,2016,983,114.01525940996947
Koo Wee Rup,2006,290,49.224137931034484
Koo Wee Rup,2011,391,71.91048593350384
Koo Wee Rup,2016,412,85.63592233009709
Lalor,2006,1088,62.436580882352935
Lalor,2011,1314,92.53576864535769
Lalor,2016,1725,106.27652173913043
Langwarrin,2006,964,64.89626556016597
Langwarrin,2011,1235,96.8323886639676
Langwarrin,2016,1455,110.093470790378
Laverton,2006,403,57.72456575682382
Laverton,2011,647,91.14374034003092
Laverton,2016,1086,103.27716390423574
Lilydale - Coldstream,2006,942,73.40552016985137
Lilydale - Coldstream,2011,1070,97.19906542056074
Lilydale - Coldstream,2016,1167,119.65981148243358
Lynbrook - Lyndhurst,2006,124,68.7258064516129
Lynbrook - Lyndhurst,2011,426,101.1244131455399
Lynbrook - Lyndhurst,2016,637,111.38461538461539
Lysterfield,2006,78,69.0
Lysterfield,2011,138,94.48550724637681
Lysterfield,2016,113,96.0
Macedon,2006,98,68.88775510204081
Macedon,2011,106,87.11320754716981
Macedon,2016,99,109.24242424242425
Malvern - Glen Iris,2006,2105,118.56104513064133
Malvern - Glen Iris,2011,2409,173.96471564964716
Malvern - Glen Iris,2016,2608,201.23773006134965
Malvern East,2006,1765,109.38810198300283
Malvern East,2011,2041,160.30524252817244
Malvern East,2016,2342,189.20922288642188
Maribyrnong,2006,987,98.84802431610942
Maribyrnong,2011,1074,138.84450651769086
Maribyrnong,2016,1637,166.16188149053147
Meadow Heights,2006,915,53.702732240437165
Meadow Heights,2011,1067,80.92127460168697
Meadow Heights,2016,1183,95.0625528317836
Melbourne,2006,4401,192.6530334014997
Melbourne,2011,6128,263.04357049608353
Melbourne,2016,11163,278.23004568664345
Melbourne Airport,2006,13,56.0
Melbourne Airport,2011,0,0.0
Melbourne Airport,2016,0,0.0
Melton,2006,961,57.24661810613944
Melton,2011,1544,75.67681347150258
Melton,2016,1640,83.57439024390244
Melton South,2006,723,53.81604426002767
Melton South,2011,1348,77.62833827893175
Melton South,2016,2071,89.90922259777885
Melton West,2006,465,55.053763440860216
Melton West,2011,958,78.20668058455114
Melton West,2016,1300,83.76846153846154
Mentone,2006,1317,94.29460895975703
Mentone,2011,1375,140.51563636363636
Mentone,2016,1747,170.87864911276475
Mernda,2006,24,59.0
Mernda,2011,370,99.1945945945946
Mernda,2016,1380,103.31449275362318
Mickleham - Yuroke,2006,7,39.0
Mickleham - Yuroke,2011,18,57.0
Mickleham - Yuroke,2016,60,93.94999999999999
Mill Park - North,2006,723,66.34578146611341
Mill Park - North,2011,832,96.74038461538461
Mill Park - North,2016,1046,104.25239005736138
Mill Park - South,2006,627,66.72408293460924
Mill Park - South,2011,748,92.47058823529412
Mill Park - South,2016,810,99.68518518518519
Mitcham (Vic.),2006,1182,80.07529610829104
Mitcham (Vic.),2011,1232,116.92775974025975
Mitcham (Vic.),2016,1581,143.30803289057556
Monbulk - Silvan,2006,219,58.23287671232877
Monbulk - Silvan,2011,222,78.10810810810811
Monbulk - Silvan,2016,203,99.22167487684729
Montmorency - Briar Hill,2006,898,85.22383073496658
Montmorency - Briar Hill,2011,1011,110.09693372898121
Montmorency - Briar Hill,2016,981,128.69113149847095
Montrose,2006,157,59.61146496815286
Montrose,2011,228,84.58333333333334
Montrose,2016,210,103.76190476190476
Moonee Ponds,2006,1474,98.18521031207598
Moonee Ponds,2011,1583,141.21099178774477
Moonee Ponds,2016,1844,171.9663774403471
Moorabbin - Heatherton,2006,479,84.8705636743215
Moorabbin - Heatherton,2011,570,127.83508771929824
Moorabbin - Heatherton,2016,755,154.99867549668875
Moorabbin Airport,2006,0,0.0
Moorabbin Airport,2011,0,0.0
Moorabbin Airport,2016,0,0.0
Mooroolbark,2006,1017,66.51720747295968
Mooroolbark,2011,1146,92.65095986038395
Mooroolbark,2016,1291,106.69326103795507
Mordialloc - Parkdale,2006,1629,89.28913443830571
Mordialloc - Parkdale,2011,1777,128.02363534046145
Mordialloc - Parkdale,2016,1887,153.9406465288818
Mornington,2006,1956,68.44120654396728
Mornington,2011,2071,98.91549975857075
Mornington,2016,2096,121.67175572519083
Mount Dandenong - Olinda,2006,252,65.66666666666666
Mount Dandenong - Olinda,2011,295,94.84745762711864
Mount Dandenong - Olinda,2016,295,110.42033898305085
Mount Eliza,2006,464,82.62931034482759
Mount Eliza,2011,455,122.19560439560439
Mount Eliza,2016,497,147.77062374245475
Mount Evelyn,2006,263,59.10266159695817
Mount Evelyn,2011,295,88.79322033898305
Mount Evelyn,2016,226,93.17256637168141
Mount Martha,2006,656,77.07926829268293
Mount Martha,2011,707,109.8005657708628
Mount Martha,2016,792,130.9090909090909
Mount Waverley - North,2006,805,83.49440993788821
Mount Waverley - North,2011,987,122.07902735562311
Mount Waverley - North,2016,1169,139.05389221556885
Mount Waverley - South,2006,1048,84.60496183206106
Mount Waverley - South,2011,1168,118.32191780821918
Mount Waverley - South,2016,1356,142.61209439528022
Mulgrave,2006,807,72.03841387856258
Mulgrave,2011,1069,101.22076707202993
Mulgrave,2016,1260,118.92857142857143
Murrumbeena,2006,1088,105.20404411764706
Murrumbeena,2011,1204,158.72425249169436
Murrumbeena,2016,1277,188.2075176194205
Narre Warren - North East,2006,627,62.740031897926634
Narre Warren - North East,2011,703,89.02275960170698
Narre Warren - North East,2016,759,101.16205533596838
Narre Warren - South West,2006,952,65.0126050420168
Narre Warren - South West,2011,1043,91.15340364333653
Narre Warren - South West,2016,1273,103.66928515318146
Narre Warren North,2006,39,54.0
Narre Warren North,2011,68,96.0
Narre Warren North,2016,68,106.04411764705883
Narre Warren South (East),2006,259,69.11969111969111
Narre Warren South (East),2011,274,96.13868613138686
Narre Warren South (East),2016,326,110.57055214723925
Narre Warren South (West),2006,509,64.97838899803536
Narre Warren South (West),2011,712,92.65449438202248
Narre Warren South (West),2016,813,99.90159901599016
Newport,2006,1535,86.75895765472313
Newport,2011,1687,127.89270895080024
Newport,2016,1836,151.14978213507624
Niddrie - Essendon West,2006,408,75.28921568627452
Niddrie - Essendon West,2011,433,116.20092378752886
Niddrie - Essendon West,2016,569,138.08435852372583
Noble Park - East,2006,1454,69.31980742778542
Noble Park - East,2011,1761,106.58773424190801
Noble Park - East,2016,1987,122.96879718168093
Noble Park - West,2006,1508,63.968832891246684
Noble Park - West,2011,1771,99.35403726708074
Noble Park - West,2016,1988,114.81841046277665
Noble Park North,2006,560,53.966071428571425
Noble Park North,2011,624,84.97916666666667
Noble Park North,2016,670,101.86865671641792
North Melbourne,2006,3356,116.84773539928486
North Melbourne,2011,3709,172.33189538959286
North Melbourne,2016,5252,210.6841203351104
Northcote,2006,3007,101.85334220152976
Northcote,2011,3241,157.9605060166615
Northcote,2016,3525,190.67602836879433
Nunawading,2006,903,73.59246954595791
Nunawading,2011,997,108.66599799398193
Nunawading,2016,1150,127.3095652173913
Oakleigh - Huntingdale,2006,1731,84.72501444251878
Oakleigh - Huntingdale,2011,2012,124.18936381709742
Oakleigh - Huntingdale,2016,2238,145.80160857908845
Ormond - Glen Huntly,2006,1622,109.22009864364982
Ormond - Glen Huntly,2011,1966,160.01271617497454
Ormond - Glen Huntly,2016,2278,184.30553116769096
Pakenham - North,2006,473,59.38054968287527
Pakenham - North,2011,1365,91.50989010989011
Pakenham - North,2016,2013,98.07401887729756
Pakenham - South,2006,1178,61.81918505942275
Pakenham - South,2011,1871,89.06360235168358
Pakenham - South,2016,2606,97.56101304681503
Panton Hill - St Andrews,2006,149,61.0
Panton Hill - St Andrews,2011,120,71.875
Panton Hill - St Andrews,2016,89,85.0
Parkville,2006,696,134.41091954022986
Parkville,2011,814,181.44471744471747
Parkville,2016,1169,206.20615911035074
Pascoe Vale,2006,1549,81.46675274370561
Pascoe Vale,2011,2045,122.14669926650365
Pascoe Vale,2016,2681,141.9888101454681
Pascoe Vale South,2006,500,79.362
Pascoe Vale South,2011,609,116.7504105090312
Pascoe Vale South,2016,660,138.10909090909092
Pearcedale - Tooradin,2006,207,56.0
Pearcedale - Tooradin,2011,279,87.1863799283154
Pearcedale - Tooradin,2016,252,97.21428571428572
Plenty - Yarrambat,2006,145,74.0
Plenty - Yarrambat,2011,142,105.7605633802817
Plenty - Yarrambat,2016,179,120.73743016759776
Point Cook - East,2006,236,98.92372881355931
Point Cook - East,2011,422,115.88862559241706
Point Cook - East,2016,1214,109.32372322899505
Point Cook - North,2006,504,75.74603174603175
Point Cook - North,2011,1493,100.13998660415271
Point Cook - North,2016,1794,106.57636566332218
Point Cook - South,2006,20,84.6
Point Cook - South,2011,501,96.92814371257484
Point Cook - South,2016,1234,104.42787682333874
Point Nepean,2006,976,61.33504098360656
Point Nepean,2011,1219,87.64150943396227
Point Nepean,2016,1277,104.82223962411902
Port Melbourne,2006,2552,150.3793103448276
Port Melbourne,2011,2931,217.3899692937564
Port Melbourne,2016,3165,237.70110584518167
Port Melbourne Industrial,2006,0,0.0
Port Melbourne Industrial,2011,0,0.0
Port Melbourne Industrial,2016,0,0.0
Prahran - Windsor,2006,3871,131.96538362180314
Prahran - Windsor,2011,4323,197.529030765672
Prahran - Windsor,2016,5067,229.60548648115255
Preston - East,2006,1959,75.5895865237366
Preston - East,2011,2404,122.46048252911814
Preston - East,2016,3015,148.17014925373132
Preston - West,2006,1198,78.59682804674458
Preston - West,2011,1260,123.71666666666667
Preston - West,2016,1445,149.2173010380623
Research - North Warrandyte,2006,119,75.70588235294117
Research - North Warrandyte,2011,147,109.6938775510204
Research - North Warrandyte,2016,123,121.5609756097561
Reservoir - East,2006,2770,69.10216606498194
Reservoir - East,2011,3172,106.09331651954602
Reservoir - East,2016,3927,125.3659281894576
Reservoir - West,2006,2025,74.44493827160494
Reservoir - West,2011,2360,111.32033898305085
Reservoir - West,2016,2642,131.21990915972748
Richmond (Vic.),2006,5268,124.13135914958238
Richmond (Vic.),2011,5828,178.54958819492106
Richmond (Vic.),2016,7017,214.18326920336327
Riddells Creek,2006,84,61.58333333333333
Riddells Creek,2011,78,83.15384615384615
Riddells Creek,2016,113,108.97345132743364
Ringwood,2006,1811,77.94533406957481
Ringwood,2011,2068,113.88636363636363
Ringwood,2016,2330,127.70085836909871
Ringwood East,2006,1385,70.90685920577617
Ringwood East,2011,1482,105.99932523616734
Ringwood East,2016,1674,118.10692951015531
Ringwood North,2006,331,71.95468277945619
Ringwood North,2011,321,102.5264797507788
Ringwood North,2016,350,111.60000000000001
Rockbank - Mount Cottrell,2006,117,79.77777777777777
Rockbank - Mount Cottrell,2011,120,121.02499999999999
Rockbank - Mount Cottrell,2016,135,131.57037037037037
Romsey,2006,211,53.98578199052133
Romsey,2011,301,71.74750830564784
Romsey,2016,352,92.38636363636364
Rosebud - McCrae,2006,1560,60.322435897435895
Rosebud - McCrae,2011,1894,85.15417106652586
Rosebud - McCrae,2016,2104,102.47243346007605
Rowville - Central,2006,526,73.11026615969583
Rowville - Central,2011,670,97.54328358208954
Rowville - Central,2016,825,118.04848484848485
Rowville - North,2006,248,71.08870967741935
Rowville - North,2011,272,94.54411764705881
Rowville - North,2016,262,107.84732824427482
Rowville - South,2006,191,77.24607329842932
Rowville - South,2011,251,107.03187250996017
Rowville - South,2016,287,114.85714285714286
Roxburgh Park - Somerton,2006,536,67.90111940298507
Roxburgh Park - Somerton,2011,761,92.61235216819973
Roxburgh Park - Somerton,2016,1046,101.24474187380497
Sandringham - Black Rock,2006,1002,118.77944111776446
Sandringham - Black Rock,2011,1096,170.9580291970803
Sandringham - Black Rock,2016,1351,196.03923019985197
Seabrook,2006,223,68.7713004484305
Seabrook,2011,262,93.26717557251908
Seabrook,2016,275,100.60727272727271
Seaford (Vic.),2006,1749,69.76558033161807
Seaford (Vic.),2011,2008,98.93625498007968
Seaford (Vic.),2016,2063,113.51769268056228
Seddon - Kingsville,2006,1063,84.41768579492003
Seddon - Kingsville,2011,1203,128.33748960931007
Seddon - Kingsville,2016,1378,156.42960812772134
Skye - Sandhurst,2006,308,76.14935064935065
Skye - Sandhurst,2011,498,105.9578313253012
Skye - Sandhurst,2016,679,115.51546391752576
Somerville,2006,759,61.84057971014492
Somerville,2011,923,88.82556879739978
Somerville,2016,973,106.75642343268242
South Melbourne,2006,2053,131.45396980029224
South Melbourne,2011,2155,184.53178654292344
South Melbourne,2016,2768,217.78070809248555
South Morang (North),2006,119,72.98319327731092
South Morang (North),2011,394,101.68020304568527
South Morang (North),2016,607,103.53212520593081
South Morang (South),2006,447,73.58389261744966
South Morang (South),2011,690,100.14637681159421
South Morang (South),2016,759,107.1870882740448
South Yarra - East,2006,3652,146.74753559693318
South Yarra - East,2011,4251,205.53328628557986
South Yarra - East,2016,6387,246.27274150618445
South Yarra - West,2006,1156,156.34948096885813
South Yarra - West,2011,1384,229.49277456647403
South Yarra - West,2016,1398,252.93276108726755
Southbank,2006,2497,197.7589106928314
Southbank,2011,2986,270.8938379102478
Southbank,2016,5136,285.90946261682245
Springvale,2006,1842,68.54668838219328
Springvale,2011,2040,98.54411764705883
Springvale,2016,2228,117.37971274685816
Springvale South,2006,681,64.63582966226139
Springvale South,2011,805,91.01242236024845
Springvale South,2016,889,105.98087739032621
St Albans - North,2006,1520,58.694078947368425
St Albans - North,2011,1714,87.89789964994166
St Albans - North,2016,2182,101.87992667277726
St Albans - South,2006,1120,58.902678571428574
St Albans - South,2011,1324,86.4380664652568
St Albans - South,2016,1530,97.6450980392157
St Kilda,2006,5750,147.52295652173913
St Kilda,2011,6626,209.5282221551464
St Kilda,2016,7373,236.06388173063883
St Kilda East,2006,3646,121.51042238069115
St Kilda East,2011,3904,177.05917008196718
St Kilda East,2016,3958,199.80949974734716
Strathmore,2006,327,80.92354740061162
Strathmore,2011,365,113.8
Strathmore,2016,448,140.359375
Sunbury,2006,460,58.69347826086957
Sunbury,2011,490,78.10408163265306
Sunbury,2016,515,93.1747572815534
Sunbury - South,2006,1204,65.70348837209302
Sunbury - South,2011,1689,90.33096506808762
Sunbury - South,2016,2145,104.38601398601398
Sunshine,2006,856,67.3072429906542
Sunshine,2011,919,100.79651795429815
Sunshine,2016,1171,117.01537147736977
Sunshine North,2006,610,60.96065573770492
Sunshine North,2011,687,89.68995633187772
Sunshine North,2016,911,102.38529088913282
Sunshine West,2006,804,58.27860696517413
Sunshine West,2011,1112,86.60341726618705
Sunshine West,2016,1507,101.09157266091573
Surrey Hills (East) - Mont Albert,2006,716,113.49720670391062
Surrey Hills (East) - Mont Albert,2011,718,151.2799442896936
Surrey Hills (East) - Mont Albert,2016,817,173.2986536107711
Surrey Hills (West) - Canterbury,2006,981,113.44546381243629
Surrey Hills (West) - Canterbury,2011,1089,156.91919191919192
Surrey Hills (West) - Canterbury,2016,1064,179.44454887218046
Sydenham,2006,757,71.17040951122853
Sydenham,2011,931,101.890440386681
Sydenham,2016,1067,112.56701030927837
Tarneit,2006,270,71.65555555555555
Tarneit,2011,1777,86.13674732695554
Tarneit,2016,2724,95.70961820851689
Taylors Hill,2006,305,70.3016393442623
Taylors Hill,2011,516,92.62790697674419
Taylors Hill,2016,681,108.19089574155655
Taylors Lakes,2006,335,72.0955223880597
Taylors Lakes,2011,431,98.02552204176334
Taylors Lakes,2016,469,106.27931769722814
Templestowe,2006,448,94.09375
Templestowe,2011,552,129.64492753623188
Templestowe,2016,672,145.40625
Templestowe Lower,2006,492,82.3211382113821
Templestowe Lower,2011,591,117.82064297800339
Templestowe Lower,2016,671,136.04172876304023
The Basin,2006,129,60.15503875968992
The Basin,2011,142,82.26760563380282
The Basin,2016,140,93.88571428571427
Thomastown,2006,1200,64.86833333333334
Thomastown,2011,1354,94.35672082717875
Thomastown,2016,1724,110.4854988399072
Thornbury,2006,2629,100.27158615443133
Thornbury,2011,2782,149.74442846872753
Thornbury,2016,3008,174.51063829787236
Toorak,2006,1612,145.07382133995037
Toorak,2011,1790,203.86424581005588
Toorak,2016,1769,224.4607122668174
Truganina,2006,65,66.24615384615385
Truganina,2011,1015,87.58226600985222
Truganina,2016,1818,98.76237623762377
Tullamarine,2006,612,75.72875816993464
Tullamarine,2011,726,109.65840220385675
Tullamarine,2016,836,122.52870813397129
Upwey - Tecoma,2006,369,64.98915989159892
Upwey - Tecoma,2011,363,86.01928374655648
Upwey - Tecoma,2016,363,107.6831955922865
Vermont,2006,481,71.96049896049897
Vermont,2011,543,106.03130755064456
Vermont,2016,588,121.09183673469389
Vermont South,2006,279,81.14336917562724
Vermont South,2011,371,106.82749326145552
Vermont South,2016,414,123.07004830917873
Viewbank - Yallambie,2006,1117,71.20232766338407
Viewbank - Yallambie,2011,1159,99.02329594477999
Viewbank - Yallambie,2016,1255,117.9402390438247
Wallan,2006,298,61.92953020134229
Wallan,2011,453,93.31346578366447
Wallan,2016,781,93.85019206145967
Wandin - Seville,2006,159,59.264150943396224
Wandin - Seville,2011,227,81.38766519823788
Wandin - Seville,2016,199,92.90954773869346
Wantirna,2006,688,73.8968023255814
Wantirna,2011,756,104.07142857142857
Wantirna,2016,884,115.42533936651583
Wantirna South,2006,635,72.73070866141732
Wantirna South,2011,739,95.43707713125846
Wantirna South,2016,983,117.95523906408953
Warrandyte - Wonga Park,2006,210,76.11904761904762
Warrandyte - Wonga Park,2011,168,115.31547619047619
Warrandyte - Wonga Park,2016,179,116.24022346368714
Watsonia,2006,512,65.1875
Watsonia,2011,607,94.3492586490939
Watsonia,2016,684,114.04093567251462
Wattle Glen - Diamond Creek,2006,277,72.00361010830325
Wattle Glen - Diamond Creek,2011,349,100.93409742120343
Wattle Glen - Diamond Creek,2016,378,111.65608465608466
Werribee - East,2006,1662,58.90613718411552
Werribee - East,2011,1922,80.47762747138398
Werribee - East,2016,2174,92.50689972401105
Werribee - South,2006,841,66.756242568371
Werribee - South,2011,982,88.62627291242362
Werribee - South,2016,1223,101.76778413736713
Werribee - West,2006,639,59.436619718309856
Werribee - West,2011,746,81.30428954423593
Werribee - West,2016,892,94.28587443946188
West Footscray - Tottenham,2006,1263,77.89469517022962
West Footscray - Tottenham,2011,1425,115.42877192982453
West Footscray - Tottenham,2016,1748,142.33810068649885
West Melbourne,2006,0,0.0
West Melbourne,2011,0,0.0
West Melbourne,2016,0,0.0
Wheelers Hill,2006,580,76.23793103448276
Wheelers Hill,2011,664,108.43072289156628
Wheelers Hill,2016,781,123.64020486555698
Whittlesea,2006,290,63.437931034482766
Whittlesea,2011,339,83.1504424778761
Whittlesea,2016,364,93.32417582417582
Williamstown,2006,1449,93.57625948930297
Williamstown,2011,1461,131.89801505817934
Williamstown,2016,1430,155.06153846153848
Wollert,2006,25,56.0
Wollert,2011,19,88.0
Wollert,2016,520,107.76538461538462
Wyndham Vale,2006,495,63.157575757575756
Wyndham Vale,2011,1332,83.28078078078077
Wyndham Vale,2016,1923,88.75767030681227
Yarra - North,2006,1038,112.56936416184972
Yarra - North,2011,1173,162.61722080136406
Yarra - North,2016,1293,196.7857695282289
Yarra Valley,2006,771,61.12321660181583
Yarra Valley,2011,784,81.5420918367347
Yarra Valley,2016,752,91.10106382978724
Yarraville,2006,1350,88.75111111111111
Yarraville,2011,1580,131.20696202531644
Yarraville,2016,1722,162.73461091753774
