,Region,Census year,Mean rent per person,Cost of living proportion (Youth Allowance),Cost of living proportion (Newstart)
1,Abbotsford,2011,173.50720461095105,1.2107931010503994,1.0014383772905369
2,Abbotsford,2016,241.28706939590612,1.427286099125093,1.205908179531346
4,Airport West,2011,110.52021089630932,0.941790351895406,0.7789481133744589
5,Airport West,2016,127.2093352192362,0.9887532827925355,0.8353935990751119
7,Albert Park,2011,225.11304684475417,1.4311896085618372,1.1837267638458289
8,Albert Park,2016,248.6054875787912,1.455419253767433,1.2296777666659886
10,Alphington - Fairfield,2011,161.2068328716528,1.1582610842265761,0.9579895191510166
11,Alphington - Fairfield,2016,188.069823434992,1.2227106057815829,1.0330631830686026
13,Altona,2011,114.98476770754,0.9608574320202434,0.7947183599701165
14,Altona,2016,137.60014154281671,1.0286971823968967,0.8691420362558598
16,Altona Meadows,2011,95.7754846779237,0.8788190675973679,0.7268650112254458
17,Altona Meadows,2016,104.99553820412716,0.9033599408158348,0.7632451141775543
19,Altona North,2011,102.50040225261463,0.9075396209806305,0.7506195770138276
20,Altona North,2016,122.15560026827632,0.969325927953856,0.8189795065389468
22,Ardeer - Albion,2011,113.9242105263158,0.956328039830518,0.7909721318485191
23,Ardeer - Albion,2016,120.07841328413286,0.9613408933212866,0.8122329834815449
25,Armadale,2011,189.96612296110413,1.2810852998552387,1.0595765558498909
26,Armadale,2016,211.4658952496955,1.3126487986995041,1.1090515939124217
28,Ascot Vale,2011,117.23636363636362,0.9704734727156251,0.8026717189557174
29,Ascot Vale,2016,142.3951465201465,1.0471299383787132,0.884715796291359
31,Ashburton (Vic.),2011,108.58588957055214,0.9335293169786553,0.7721154700478704
32,Ashburton (Vic.),2016,136.07142857142856,1.0228205684411116,0.8641769091929864
34,Ashwood - Chadstone,2011,110.77045579352004,0.942859089444886,0.7798320586136349
35,Ashwood - Chadstone,2016,134.26344086021504,1.0158703783043999,0.8583047220118063
37,Aspendale Gardens - Waterways,2011,113.66507177033492,0.9552213186860342,0.7900567706475977
38,Aspendale Gardens - Waterways,2016,125.7767441860465,0.9832461767391797,0.8307406677256375
40,Bacchus Marsh,2011,77.66666666666666,0.8014805324222364,0.6628988578829623
41,Bacchus Marsh,2016,89.22529644268775,0.8427366422922242,0.7120247375448626
43,Balwyn,2011,150.52789699570815,1.1126538415362295,0.920268092531643
44,Balwyn,2016,172.84952229299364,1.1642013658023473,0.9836289658416761
46,Balwyn North,2011,139.65963855421688,1.066238046355827,0.8818779178884383
47,Balwyn North,2016,158.77958446251128,1.1101143039672141,0.9379310288171466
49,Bayswater,2011,100.91611687087654,0.9007735078833078,0.745023372910196
50,Bayswater,2016,117.58001502629602,0.9517366560681801,0.8041184027616878
52,Bayswater North,2011,95.5603448275862,0.8779002555096571,0.7261050682712336
53,Bayswater North,2016,102.467680608365,0.8936424572178485,0.7550348520847219
55,Beaconsfield - Officer,2011,101.2982456140351,0.9024054905574849,0.7463731741929887
56,Beaconsfield - Officer,2016,106.65936739659368,0.9097559628523408,0.7686490870005316
58,Beaumaris,2011,162.64015904572562,1.1643824857814462,0.9630524869153148
59,Beaumaris,2016,189.4766536964981,1.2281186833624775,1.0376324456672776
61,Belgrave - Selby,2011,82.24418604651163,0.8210300493124563,0.6790681245019838
62,Belgrave - Selby,2016,102.60089686098657,0.8941545615199283,0.7554675269121652
64,Bentleigh - McKinnon,2011,146.36112742219612,1.0948585412009229,0.9055497259703146
65,Bentleigh - McKinnon,2016,174.76413155190136,1.1715614259976603,0.9898474505566968
67,Bentleigh East (North),2011,132.6903023983316,1.0364736382589435,0.857259987277752
68,Bentleigh East (North),2016,155.0153707052441,1.0956440721365603,0.9257051892079772
70,Bentleigh East (South),2011,122.45019404915912,0.9927405255142392,0.8210886402301628
71,Bentleigh East (South),2016,152.31788079470198,1.085274495145605,0.9169439760781513
73,Berwick - North,2011,98.58298582151794,0.890809249718206,0.7367820057277213
74,Berwick - North,2016,109.63385269121812,0.9211903538209704,0.7783099570990228
76,Berwick - South,2011,96.75247524752476,0.8829915662930803,0.7303160552720761
77,Berwick - South,2016,107.87435456110155,0.9144265652876451,0.7725952598691141
79,Blackburn,2011,116.39520958083833,0.9668811000676417,0.7997004930442894
80,Blackburn,2016,149.56161971830986,1.074678992516616,0.9079918793020556
82,Blackburn South,2011,96.21857142857144,0.8807113876940911,0.7284301357420396
83,Blackburn South,2016,119.5759162303665,0.9594092153319104,0.8106009166597372
85,Boronia,2011,97.00433604336042,0.8840672049684408,0.7312057083834701
86,Boronia,2016,115.48005766458434,0.9436640885101365,0.7972979234940542
88,Box Hill,2011,139.88425129087778,1.067197314930078,0.8826713221154283
89,Box Hill,2016,170.95089285714286,1.1569027345691387,0.9774623822051476
91,Box Hill North,2011,121.44322344322345,0.988439989080604,0.81753169707956
92,Box Hill North,2016,145.32240762812873,1.0583827921199713,0.8942232863299515
94,Braeside,2011,0.0,0.4697843262865684,0.38855528081949836
95,Braeside,2016,0.0,0.49974051934572433,0.42222871804865375
97,Braybrook,2011,95.15124045801528,0.8761530662311137,0.7246599804239324
98,Braybrook,2016,118.37269372693729,0.9547838381107397,0.8066929543893511
100,Brighton (Vic.),2011,187.59071729957805,1.2709404966883537,1.0511858611783045
101,Brighton (Vic.),2016,223.82501313715187,1.3601591986359078,1.1491929362342133
103,Brighton East,2011,164.67995802728228,1.1730939911479064,0.9702577111525336
104,Brighton East,2016,186.4422535211268,1.216453970135225,1.027776977235788
106,Broadmeadows,2011,81.85194174757281,0.8193548654604861,0.6776825918317655
107,Broadmeadows,2016,101.01785714285715,0.8880691069746753,0.7503259512905817
109,Brunswick,2011,162.42312220390863,1.1634555720858792,0.9622858431787659
110,Brunswick,2016,199.5192607003891,1.2667240498217816,1.0702499616758878
112,Brunswick East,2011,165.98879367172052,1.1786837227064724,0.9748809384377268
113,Brunswick East,2016,215.0216,1.3263174889960985,1.1206002143622724
115,Brunswick West,2011,150.13502285002076,1.1109759677558007,0.9188803350406949
116,Brunswick West,2016,171.39388145315488,1.1586056526540254,0.9789011707205655
118,Bulleen,2011,116.06666666666668,0.9654779699622749,0.7985399740963145
119,Bulleen,2016,131.43208092485548,1.0049861838078518,0.8491087106591818
121,Bundoora - East,2011,93.66731898238748,0.8698155839521139,0.7194182938268721
122,Bundoora - East,2016,113.07890743550834,0.9344336880293246,0.7894991959320158
124,Bundoora - North,2011,140.6625386996904,1.0705211988028631,0.8854204828671508
125,Bundoora - North,2016,156.53836477987423,1.1014987017505304,0.9306517417904908
127,Bundoora - West,2011,102.44519015659957,0.9073038230049094,0.7504245501822661
128,Bundoora - West,2016,114.2941176470588,0.9391051478926664,0.7934460932380356
130,Bunyip - Garfield,2011,73.0,0.7815502882767457,0.6464146944542564
131,Bunyip - Garfield,2016,88.85616438356163,0.8413176403927255,0.7108258286516667
133,Burnside,2011,86.39449541284404,0.838755051944668,0.6937283483321937
134,Burnside,2016,100.32758620689656,0.8854155965437045,0.7480840111952209
136,Burnside Heights,2011,96.7846153846154,0.8831288293171702,0.7304295845447382
137,Burnside Heights,2016,105.07817589576548,0.9036776131461183,0.7635135142283461
139,Burwood,2011,118.1511423550088,0.9743802791159889,0.8059030107912709
140,Burwood,2016,149.76630083925113,1.0754658190526116,0.908656665819777
142,Burwood East,2011,108.73383458646616,0.9341611556116428,0.7726380592951825
143,Burwood East,2016,124.49230769230768,0.9783086001203517,0.8265689294628201
145,Cairnlea,2011,86.05761316872427,0.8373163065074708,0.6925383721961296
146,Cairnlea,2016,102.57089552238806,0.8940392316389109,0.7553700851680408
148,Camberwell,2011,159.17375366568916,1.1495782774532957,0.9508080313164575
149,Camberwell,2016,193.2680756395996,1.2426935077540493,1.0499466551027952
151,Campbellfield - Coolaroo,2011,97.03800904977376,0.8842110145196402,0.7313246522422244
152,Campbellfield - Coolaroo,2016,103.87800963081862,0.8990639845880739,0.7596154783553172
154,Carlton,2011,202.42730746028556,1.3343041104432438,1.1035934562355545
155,Carlton,2016,230.10596235963945,1.384304158839216,1.169592914221441
157,Carlton North - Princes Hill,2011,183.7202998846597,1.2544108472545792,1.0375143054915565
158,Carlton North - Princes Hill,2016,207.41809290953543,1.29708840759427,1.095904683197036
160,Carnegie,2011,159.17862481315396,1.1495990809872048,0.9508252377716495
161,Carnegie,2016,192.1491909385113,1.2383923383570505,1.0463126146952202
163,Caroline Springs,2011,100.2098901098901,0.8977573782186209,0.7425287534789476
164,Caroline Springs,2016,114.77031509121062,0.9409357260315245,0.794992741210207
166,Carrum - Patterson Lakes,2011,110.31271878646442,0.9409042015223763,0.7782151846925623
167,Carrum - Patterson Lakes,2016,130.41601779755285,1.0010802767699574,0.8458086257999703
169,Carrum Downs,2011,95.30337078651684,0.8768027793573215,0.7251973535376787
170,Carrum Downs,2016,111.88026052104208,0.9298259000943437,0.7856060947774923
172,Caulfield - North,2011,156.48647506339813,1.1381015377467356,0.9413157013896083
173,Caulfield - North,2016,189.45394976337823,1.2280314058599504,1.0375587052628479
175,Caulfield - South,2011,152.28211749515816,1.120145707858886,0.9264645619751259
176,Caulfield - South,2016,182.0637054354179,1.199622140178822,1.0135558330423784
178,Chelsea - Bonbeach,2011,113.1758823529412,0.9531321048598812,0.7883287967253308
179,Chelsea - Bonbeach,2016,135.61611639619474,1.0210702765725286,0.8626980947617485
181,Chelsea Heights,2011,112.390625,0.9497784539824898,0.7855550158954433
182,Chelsea Heights,2016,108.52,0.9169085282641705,0.7746922602228068
184,Cheltenham - Highett (East),2011,124.56379988757728,1.0017672427400268,0.8285545739582382
185,Cheltenham - Highett (East),2016,154.64278982092367,1.0942118124086482,0.9244950788298538
187,Cheltenham - Highett (West),2011,122.08371040723982,0.9911753594159293,0.8197941024628747
188,Cheltenham - Highett (West),2016,154.23595505617976,1.0926478753577171,0.9231737148208119
190,Chirnside Park,2011,97.74342105263158,0.8872236645425221,0.7338163936864414
191,Chirnside Park,2016,110.6075,0.9249332077575106,0.7814722790607036
193,Clarinda - Oakleigh South,2011,92.45616641901933,0.8646430340338216,0.7151401145143741
194,Clarinda - Oakleigh South,2016,109.97983870967742,0.922520378686749,0.7794336896608446
196,Clayton,2011,126.8833276969902,1.0116734046422813,0.8367478901341935
197,Clayton,2016,153.6117911566325,1.0902484908091281,0.9211464846426729
199,Clayton South,2011,111.672454617206,0.946711315896673,0.7830182077612362
200,Clayton South,2016,138.26394984326018,1.0312489662800477,0.8712980280076008
202,Coburg,2011,135.10157480314962,1.0467716199152237,0.8657773747903553
203,Coburg,2016,160.52320675105483,1.1168170632596723,0.9435941626913991
205,Coburg North,2011,109.64668769716089,0.938059738189882,0.7758625492658455
206,Coburg North,2016,126.3108108108108,0.9852992131424485,0.8324752697743053
208,Collingwood,2011,152.4979154258487,1.1210673304541905,0.9272268294802144
209,Collingwood,2016,207.53547297297297,1.2975396350855248,1.0962859234563416
211,Craigieburn - Central,2011,89.23789473684211,0.8508985468154692,0.7037721467214486
212,Craigieburn - Central,2016,100.35472370766487,0.8855199173800714,0.748172151442609
214,Craigieburn - North,2011,96.502538071066,0.8819241429471107,0.7294331970012927
215,Craigieburn - North,2016,107.25806451612902,0.9120574490788592,0.7705936032873073
217,Craigieburn - South,2011,91.08280254777073,0.8587777174792685,0.7102889528356435
218,Craigieburn - South,2016,104.84569983136592,0.9027839384602838,0.7627584521464352
220,Craigieburn - West,2011,104.0,0.9139440529575058,0.7559166372306605
221,Craigieburn - West,2016,113.32434514637904,0.935377189330075,0.7902963563167984
223,Cranbourne,2011,85.87910798122066,0.8365539525142885,0.691907834621055
224,Cranbourne,2016,100.60073645449762,0.8864656292098242,0.7489711794942923
226,Cranbourne East,2011,102.14221218961625,0.906009874822192,0.7493543348273269
227,Cranbourne East,2016,107.5638852672751,0.913233072317355,0.7715868825466079
229,Cranbourne North,2011,88.21115973741794,0.8465136012702026,0.7001453893939171
230,Cranbourne North,2016,99.00545171339564,0.8803331028634964,0.7437898331007686
232,Cranbourne South,2011,99.70731707317071,0.8956110060780299,0.7407535043206313
233,Cranbourne South,2016,109.2741116751269,0.9198074525731905,0.7771415494986096
235,Cranbourne West,2011,87.48048048048048,0.8433930407024577,0.697564395904205
236,Cranbourne West,2016,99.57142857142856,0.8825088072401966,0.7456280768177874
238,Croydon - East,2011,106.3103666245259,0.9238110895773047,0.7640775931632846
239,Croydon - East,2016,118.48978400467016,0.9552339516200057,0.8070732534498365
241,Croydon - West,2011,100.15309842041312,0.8975148341678972,0.7423281470166482
242,Croydon - West,2016,117.0265748031496,0.9496091444947801,0.8023208769467979
244,Croydon Hills - Warranwood,2011,98.65414710485132,0.8911131629504647,0.7370333702043493
245,Croydon Hills - Warranwood,2016,111.0747922437673,0.9267295529004838,0.782990003714857
247,Croydon South,2011,89.17977528089888,0.8506503321840652,0.7035668501621295
248,Croydon South,2016,102.38078291814946,0.8933084087806311,0.7547526159282519
250,Dandenong,2011,104.61783132530118,0.9165826663476454,0.7580990156315831
251,Dandenong,2016,123.77092155676549,0.9755354779509312,0.8242259298995274
253,Dandenong North,2011,86.91296728971962,0.8409693243208184,0.6955597572932519
254,Dandenong North,2016,100.05194123819516,0.8843559737759055,0.7471887402585182
256,Deer Park - Derrimut,2011,86.73340961098398,0.8402024753832329,0.6949255019815753
257,Deer Park - Derrimut,2016,99.8193677872554,0.8834619247208388,0.7464333618735763
259,Delahey,2011,89.73809523809524,0.8530347864108274,0.7055390153235437
260,Delahey,2016,109.77551020408164,0.9217349076597983,0.7787700484071637
262,Dingley Village,2011,112.16510903426791,0.948815327927687,0.7847584211736768
263,Dingley Village,2016,133.19016393442624,1.0117445323944345,0.8548188117003678
265,Docklands,2011,284.9334565619224,1.686668616536077,1.3950316374493903
266,Docklands,2016,286.5104094378904,1.6011317563491665,1.3527896633144643
268,Doncaster,2011,130.58133971291866,1.0274667508559414,0.8498104546553114
269,Doncaster,2016,162.08755760368663,1.122830674856081,0.9486750384997454
271,Doncaster East (North),2011,121.96086105675148,0.9906506985127118,0.8193601591548973
272,Doncaster East (North),2016,143.43333333333334,1.0511208923571735,0.8880877369623351
274,Doncaster East (South),2011,119.34261603375528,0.9794687851110625,0.8101116779715835
275,Doncaster East (South),2016,144.46861313868612,1.0551006713386746,0.8914502359241486
277,Donvale - Park Orchards,2011,117.30534351145036,0.9707680696623974,0.8029153779987649
278,Donvale - Park Orchards,2016,123.20284697508896,0.9733517095934379,0.8223808729581635
280,Doreen,2011,101.0,0.9011317531496903,0.7453196750264923
281,Doreen,2016,98.84779516358464,0.8797270462013363,0.7432777783090865
283,Doveton,2011,82.7958833619211,0.8233862197818539,0.6810168963684955
284,Doveton,2016,97.18083573487031,0.8733189910426137,0.7378636387504314
286,Dromana,2011,96.4390243902439,0.8816528908402472,0.7292088463095863
287,Dromana,2016,113.88782358581015,0.9375432893913167,0.7921264853870219
289,East Melbourne,2011,240.3012244897959,1.4960547704027158,1.2373762786640619
290,East Melbourne,2016,269.6808134394341,1.5364361329288028,1.2981285960551954
292,Edithvale - Aspendale,2011,117.01494252873565,0.9695278348440557,0.8018895885861379
293,Edithvale - Aspendale,2016,142.30076004343107,1.0467671018641516,0.884409237206246
295,Elsternwick,2011,169.25306416726747,1.1926246601207235,0.9864113887928909
296,Elsternwick,2016,198.818473380372,1.2640301127505795,1.067973865277768
298,Eltham,2011,105.89769820971868,0.9220486790933959,0.7626199159650959
299,Eltham,2016,125.78215223097112,0.9832669661174818,0.8307582325862195
301,Elwood,2011,198.52868174296748,1.3176539899336641,1.0898222597773488
302,Elwood,2016,220.51095085470084,1.3474194201268603,1.1384291495491923
304,Emerald - Cockatoo,2011,82.69794050343249,0.8229679286928572,0.6806709307786383
305,Emerald - Cockatoo,2016,98.81896551724138,0.8796162204902893,0.7431841421197226
307,Endeavour Hills - North,2011,79.5408163265306,0.8094845881978672,0.6695189555864733
308,Endeavour Hills - North,2016,92.20840064620356,0.8542041657070505,0.7217136011114474
310,Endeavour Hills - South,2011,87.6973058637084,0.8443190513077445,0.6983302927011952
311,Endeavour Hills - South,2016,98.6580226904376,0.8789975308606593,0.742661413785565
313,Epping - East,2011,95.41389728096678,0.8772748122185213,0.7255877685657603
314,Epping - East,2016,104.3579604578564,0.9009089913231837,0.7611743169893677
316,Epping - South,2011,95.3637532133676,0.8770606586093,0.7254106436360565
317,Epping - South,2016,100.95947556615018,0.8878446789788002,0.7501363329960381
319,Epping - West,2011,99.468438538206,0.8945908116088234,0.7399097087184952
320,Epping - West,2016,114.03030303030305,0.9380910028650626,0.7925892462577644
322,Essendon - Aberfeldie,2011,139.42432915921287,1.0652330948503645,0.8810467296333905
323,Essendon - Aberfeldie,2016,166.5964961853631,1.1401637464599654,0.9633196797082175
325,Essendon Airport,2011,0.0,0.4697843262865684,0.38855528081949836
326,Essendon Airport,2016,0.0,0.49974051934572433,0.42222871804865375
328,Fawkner,2011,100.8198689956332,0.9003624556721469,0.7446833945448011
329,Fawkner,2016,116.39685314685316,0.9471883950520045,0.8002755956570632
331,Ferntree Gully (North),2011,95.04902962206332,0.8757165476065056,0.7242989389687858
332,Ferntree Gully (North),2016,109.66822429906544,0.9213224837067886,0.7784215930983971
334,Ferntree Gully (South) - Upper Ferntree Gully,2011,90.13434903047091,0.854727093873461,0.7069387108105648
335,Ferntree Gully (South) - Upper Ferntree Gully,2016,104.00125628140704,0.8995377641663254,0.7600157727805614
337,Fitzroy,2011,161.62341772151896,1.1600402208905358,0.9594610304539702
338,Fitzroy,2016,198.6776755852843,1.2634888638025807,1.067516566258353
340,Fitzroy North,2011,162.11483693155716,1.1621389576406458,0.9611968807190292
341,Fitzroy North,2016,199.1893142616744,1.2654556836322466,1.069178324277094
343,Flemington,2011,129.06451612903226,1.0209887513518354,0.844452547259033
344,Flemington,2016,153.2154488517745,1.0887248884301401,0.9198591992327602
346,Flemington Racecourse,2011,165.0,1.1744608157164211,0.971388202048746
347,Flemington Racecourse,2016,72.0,0.7765198839064332,0.6560784695832927
349,Flinders,2011,90.0,0.8541533205210335,0.7064641469445425
350,Flinders,2016,115.0,0.9418186710746344,0.7957387378609244
352,Footscray,2011,128.49803304484658,1.0185694343149545,0.8424515473148942
353,Footscray,2016,157.27321960465747,1.1043235996873064,0.9330384864875686
355,Forest Hill,2011,101.98901098901098,0.9053555882511679,0.7488131790498445
356,Forest Hill,2016,119.75025906735752,0.9600794167157727,0.8111671670640733
358,Frankston,2011,100.11898734177214,0.8973691537124584,0.7422076557462809
359,Frankston,2016,115.13090241343129,0.9423218806136479,0.7961638975394826
361,Frankston North,2011,81.0585657370518,0.8159665416914448,0.6748801332993705
362,Frankston North,2016,95.07454401268834,0.8652220732030997,0.731022586029713
364,Frankston South,2011,97.22947368421052,0.8850287152859727,0.7320009667404115
365,Frankston South,2016,116.9509394572025,0.9493183902865915,0.8020752199071177
367,Gisborne,2011,90.0884086444008,0.854530893206922,0.7067764346322882
368,Gisborne,2016,111.00171821305842,0.9264486447923519,0.7827526656047888
370,Gladstone Park - Westmeadows,2011,88.66777041942603,0.8484636789213155,0.7017582847736702
371,Gladstone Park - Westmeadows,2016,103.04191033138402,0.8958498869101967,0.756899900390997
373,Glen Iris - East,2011,165.79417879417878,1.177852567987097,0.9741934962705007
374,Glen Iris - East,2016,192.1194731890875,1.2382780986375825,1.0462160940241239
376,Glen Waverley - East,2011,120.62057335581788,0.9849266425616822,0.8146258331183959
377,Glen Waverley - East,2016,131.10586552217455,1.0037321603097413,0.8480491913416304
379,Glen Waverley - West,2011,120.12517882689556,0.9828109281524474,0.8128759407520153
380,Glen Waverley - West,2016,140.7826086956522,1.040931088456579,0.8794784133802728
382,Glenroy,2011,105.15202876219826,0.9188640989203427,0.7599859723143704
383,Glenroy,2016,126.57026713124276,0.9862966041910652,0.8333179613863483
385,Gowanbrae,2011,106.8074074074074,0.9259338347529678,0.7658333006266598
386,Gowanbrae,2016,129.35714285714286,0.9970097943650139,0.8423694918871769
388,Greensborough,2011,102.38729874776384,0.9070565823094762,0.7502200591584735
389,Greensborough,2016,121.23464163822526,0.9657856176147971,0.8159883128332367
391,Greenvale - Bulla,2011,100.91954022988506,0.9007881282506301,0.7450354653122043
392,Greenvale - Bulla,2016,108.050139275766,0.9151023094768717,0.7731661933670013
394,Hadfield,2011,99.95767195767196,0.8966802133575569,0.741637838070194
395,Hadfield,2016,111.98419864559818,0.9302254546508474,0.7859436767858592
397,Hallam,2011,91.59476117103236,0.86096417326941,0.7120973548959108
398,Hallam,2016,100.24338624338624,0.8850919185937541,0.7478105370209693
400,Hampton,2011,135.55172413793105,1.048694102660393,0.8673674466193254
401,Hampton,2016,164.84461152882204,1.1334292253207836,0.9576297103797526
403,Hampton Park - Lynbrook,2011,86.76543209876543,0.8403392359545822,0.695038615679143
404,Hampton Park - Lynbrook,2016,99.71304347826089,0.8830531972947158,0.7460880297452366
406,Hastings - Somers,2011,82.78904109589041,0.8233569980606039,0.6809927272903228
407,Hastings - Somers,2016,96.8985650667986,0.8722338980406273,0.7369468481171801
409,Hawthorn,2011,183.0410465674508,1.2515099148727344,1.0351149649150504
410,Hawthorn,2016,212.9688964635705,1.318426572601036,1.1139332114182678
412,Hawthorn East,2011,180.50074147305983,1.240660864715182,1.0261417925576115
413,Hawthorn East,2016,208.78648540583765,1.3023487243386613,1.1003491032701214
415,Healesville - Yarra Glen,2011,83.55569155446756,0.8266311832349671,0.6837007826014395
416,Healesville - Yarra Glen,2016,97.05670103092784,0.8728417976470981,0.7374604600049623
418,Heidelberg - Rosanna,2011,131.44688922610015,1.031163310809738,0.8528678531476515
419,Heidelberg - Rosanna,2016,152.1583769633508,1.0846613372416276,0.9164259214763416
421,Heidelberg West,2011,92.33794025858224,0.8641381176962727,0.7147225017964756
422,Heidelberg West,2016,109.7722816399287,0.9217224965495943,0.7787595623109835
424,Hillside,2011,91.8110918544194,0.8618880711271382,0.7128615042543955
425,Hillside,2016,104.20815752461324,0.9003331252027341,0.7606877700627277
427,Hoppers Crossing - North,2011,82.91858237547893,0.8239102386311293,0.6814503086382159
428,Hoppers Crossing - North,2016,93.1125718981101,0.8576799427147831,0.724650270869824
430,Hoppers Crossing - South,2011,82.16869300911854,0.8207076361696286,0.678801458880673
431,Hoppers Crossing - South,2016,95.42305334150828,0.8665617980721867,0.7321545140846026
433,Hughesdale,2011,130.90941176470585,1.028867870017962,0.8509693103663223
434,Hughesdale,2016,163.7433439829606,1.1291957790491882,0.954052888963463
436,Hurstbridge,2011,96.4,0.8814862267777066,0.7290709996467679
437,Hurstbridge,2016,117.247311827957,0.950457692459519,0.8030378116468772
439,Ivanhoe,2011,141.84595959595958,1.0755753132434747,0.8896007050369465
440,Ivanhoe,2016,166.86567164179107,1.1411984994014304,0.964193938230508
442,Ivanhoe East - Eaglemont,2011,142.9430894308943,1.0802608987012354,0.8934761195015694
443,Ivanhoe East - Eaglemont,2016,164.26582278481015,1.1312042700321379,0.955749854768944
445,Keilor,2011,99.08361204013376,0.8929473074530588,0.7385503781000838
446,Keilor,2016,116.46540880503144,0.9474519338229437,0.8004982584852754
448,Keilor Downs,2011,81.62519936204146,0.8183865016529637,0.6768816650019125
449,Keilor Downs,2016,93.87245590230664,0.8606010567678576,0.7271183081694976
451,Keilor East,2011,100.37751937984495,0.8984732837063633,0.7431208738249556
452,Keilor East,2016,114.8701044386423,0.9413193320339144,0.7953168483505223
454,Kensington (Vic.),2011,147.3784186971656,1.0992031548031844,0.909143125034142
455,Kensington (Vic.),2016,175.87562189054722,1.175834170298296,0.993457474716773
457,Kew,2011,169.40715883668904,1.193282762488529,0.9869557005887991
458,Kew,2016,191.10871302957636,1.2343925770449051,1.0429332327440852
460,Kew East,2011,150.26612903225805,1.1115358916602949,0.919343444126662
461,Kew East,2016,173.76050420168067,1.1677033240497459,0.9865877560222178
